,Day,Hi mean,H slope,H intercept,H SD,Lo mean,L slope,L intercept,L SD
0,1,34,-0.01857420654212098,35.74683195592287,10.401838746092917,19,0.02362316827557466,17.769421487603314,9.945787926503945
1,2,33,-0.015282311271616068,34.85096418732783,9.809355706862378,18,-0.020140287519966642,19.58168044077135,10.379507390501137
2,3,33,-0.020178484616987326,34.32561983471075,9.49441454556442,19,-0.02032432807833878,20.734297520661162,10.162513501701678
3,4,33,0.0030384054448225587,33.11088154269974,10.854574091666821,19,-0.00459406903257172,19.381680440771355,11.322466573133253
4,5,33,0.005302451559136013,33.359504132231415,10.994393147066775,18,0.00443780818112369,17.835950413223145,11.503306064787115
5,6,32,-0.05575734426001807,36.02589531680441,10.796354686180145,18,0.0011459129106186866,18.098484848484855,11.025816407458473
6,7,32,-0.0368983957219251,34.81212121212121,10.943079109288979,19,-0.046621293145357345,21.823966942148765,10.634374263039012
7,8,32,-0.04852420306965763,34.98719008264464,10.634808868233858,17,-0.0464337801236197,20.246143250688707,11.386253936720564
8,9,31,-0.04765955969164529,34.427410468319565,10.594509306757926,16,-0.02850197930411837,18.32920110192838,11.305485642034172
9,10,32,-0.048062365442044584,35.00137741046832,10.430478797983438,16,-0.006660184735051077,17.346280991735547,11.082464004153652
10,11,31,-0.030224321133412196,33.73168044077136,10.40663438464551,16,-0.027595666365719865,18.50027548209367,10.907784463618716
11,12,32,-0.003142579345788,32.47865013774106,10.482795695912468,17,0.027581776512257777,15.483884297520664,10.819809485888575
12,13,31,0.03783596083061324,29.515426997245182,10.61371661540654,16,0.02959580526425443,15.114049586776863,11.386681369259527
13,14,32,-0.0015695534412112904,32.19338842975208,11.093491164574267,15,-0.013146746301826518,15.982231404958679,11.591506597939894
14,15,31,-0.05062157094242663,34.61198347107439,11.716109716572147,15,-0.06635182998819367,19.847933884297525,12.044315929868636
15,16,30,-0.060379192999514046,34.1425619834711,11.647375006318596,14,-0.02998124869782631,16.717217630853998,12.5093130572892
16,17,31,-0.04462115424682288,34.304958677685974,10.019015533918866,13,-0.03748524203069665,16.222038567493122,10.639624553726403
17,18,31,-0.042930064587818714,33.56267217630855,11.99194115483663,15,-0.03913118966594904,17.83663911845731,12.963423550129649
18,19,31,-0.050972289742343205,34.591184573002764,12.71193168967302,16,0.005201750121536236,15.757162534435263,13.1018847405059
19,20,32,-0.08039794430168767,37.09201101928376,10.936636320441593,16,-0.018983957219251415,17.354545454545466,11.506273407628221
20,21,32,-0.13397805403152996,40.496694214876044,11.784452440725918,16,-0.09769081186193487,22.454269972451797,11.14442682688167
21,22,32,-0.10971248003333572,38.75289256198348,11.932909441166995,15,-0.11228904785054523,22.50619834710745,12.338136887258932
22,23,32,-0.05928536703937774,36.10247933884298,11.587201357278541,17,-0.050003472463365554,20.158539944903588,12.133004735908111
23,24,32,-0.015924716994235737,33.68085399449037,12.059887908208077,16,0.015695534412111963,15.249449035812676,12.027268271425106
24,25,33,-0.03622473782901579,35.20537190082645,12.272706617983353,16,-0.007993610667407546,17.29228650137742,12.17518024530242
25,26,31,-0.030318077644280964,33.46225895316806,11.331888398579963,15,0.003930828529759046,15.299449035812671,11.598270903681378
26,27,30,-0.02273769011736918,32.286225895316804,11.899250264732862,14,0.0018612403639142136,14.722589531680443,12.413284652111292
27,28,30,-0.0052156399749982325,31.19366391184574,10.599812376120793,15,-6.250434057922335e-05,15.320385674931133,11.224211026404756
28,29,30,-0.0013820404194736016,30.61556473829202,10.059431239525678,14,0.0053093964858670585,14.425757575757581,10.685335771992571
29,30,31,-0.012834224598930495,31.8469696969697,11.107256567640086,14,-0.003646086533787018,14.383608815427,11.037242784831571
