,Day,Hi mean,H slope,H intercept,H SD,Lo mean,L slope,L intercept,L SD
0,1,40,0.02677821433410091,39.244546809375436,9.774679156733475,28,0.03546267443435837,26.23587589757486,9.589925269086647
1,2,39,0.036072347920335764,37.49681614957324,9.476773113783919,27,0.02169760195095513,26.5080612383146,8.949221613811622
2,3,39,0.01621731472700148,38.41539086844603,9.929226137038109,28,0.03225172740821013,26.66820214063135,9.243447534012924
3,4,39,0.047520661157024614,36.42975206611572,10.159743386273647,27,0.03343720363094428,25.62186695569707,10.40363096183648
4,5,39,0.009720905026419051,38.623357268662794,9.415339749022959,26,0.033139141037799684,24.862891207153506,10.062853436463563
5,6,40,-0.017951497087115794,41.17626337894595,10.533600966017973,27,0.012234114618615241,26.86925890800705,9.258761021183284
6,7,39,-0.03395881316894756,41.60777672402116,10.642545471111841,28,-0.01940116515377335,29.354152553854497,9.50904310782354
7,8,38,-0.010066386668473265,38.7940658447365,10.375704032005718,26,-0.014483132366888023,27.430971413087658,9.90024626123299
8,9,38,0.0014564422165016966,38.11922503725783,9.793635140038571,26,0.01234927516596651,25.515241837149446,9.754083696602702
9,10,38,0.012830239804904367,37.61035090096194,9.63176705693812,26,0.013785394932935905,25.73485977509823,9.701282185003066
10,11,38,0.01581763988619424,37.679040780382074,10.21202904373478,26,0.02439371358894441,25.346294540035238,9.632682258494414
11,12,39,0.03503590299417402,37.18710201869667,9.76937222183777,26,0.051930632705595406,23.60317030212709,9.4571164919122
12,13,38,0.08204850291288424,33.73824685002034,10.337273753274495,25,0.03812491532312681,23.55548028722396,9.7408147028049
13,14,38,0.014239262972496692,37.35225579189814,10.747028546976681,25,0.020004064489906447,24.279094973580822,9.911356427144336
14,15,38,-0.019597615499255015,39.737840401029686,10.170949285410442,25,-0.00046064218940533266,25.961522828884984,10.245109025928816
15,16,38,0.011021541796504357,37.43788104592875,9.861038618960382,24,0.0013751524183713768,24.85137515241838,9.671897036595324
16,17,37,-0.005473513074109478,38.27882400758706,9.684051527872533,24,-0.005737704918032887,25.00541931987536,9.786515994816765
17,18,38,-0.001368378268527388,38.280449803549665,11.22097725594845,25,-0.008020593415526394,25.605202547080342,11.661596694516783
18,19,38,-0.011075734995258275,38.730659802194836,11.296559606940873,25,0.016427313372171622,24.154857065438293,11.378565950303203
19,20,38,-0.030422706950278003,40.56916406990925,9.768596731038903,25,0.0037461048638394523,25.34548164205393,9.609740237801258
20,21,38,-0.0834101070315677,43.32692047148083,10.284466341715758,25,-0.07503048367429901,30.22910174773066,9.796257788904226
21,22,39,-0.07360791220701822,44.13548299688391,10.339425467996977,26,-0.053265140224901975,29.344668744072635,10.292117661123642
22,23,40,-0.006523506299959612,40.61455087386535,10.955582749832603,26,-0.009084134941065027,27.181411732827538,10.702803371079934
23,24,38,0.04863839588131669,36.056902858691245,10.858531829792765,26,0.025809510906381117,24.9142392629725,10.891924625086581
24,25,39,0.021345346159056706,37.80192385855577,10.342136124337422,26,0.03983200108386389,23.94892291017478,9.831542536659125
25,26,38,0.022158244140360352,37.125050806123845,10.411532067856296,25,0.04235875897574852,22.714672808562533,10.01293240898975
26,27,38,0.029122070180192215,36.89730388836202,11.27006322381869,24,0.04160682834304287,22.371358894458755,10.797331575255319
27,28,37,0.017707627692724385,36.55737704918034,10.271527148990643,24,0.041159734453325984,22.414713453461594,10.201462380989494
28,29,37,0.04264327326920441,34.548841620376656,8.626317921427583,25,0.043137786207830826,22.519170844059076,9.180415434402159
29,30,38,0.040658447364855486,35.67619563744751,10.247918555040522,25,0.029833355913832717,23.3835523641783,9.117453670433806
30,31,37,0.01597344533261056,36.80192385855576,9.96328660080634,24,0.039791356184798704,21.69516325701125,9.637242670027133
31,32,38,0.0675247256469312,34.09727679176263,9.886574362087195,25,0.07036986858149295,21.067064083457534,9.518786701858703
32,33,39,0.07258501558054456,34.73580815607641,9.291573243177568,25,0.06528248204850275,21.140902316759252,9.558850628833607
33,34,38,0.07161631215282471,33.71128573364044,10.006244606718177,24,0.06649505487061366,20.72930497222599,9.445654327516495
34,35,37,0.07013954748679023,33.766833762362836,9.781328139127591,25,0.06786343313914096,21.167863433139146,9.02314135375298
35,36,37,0.06562118954071249,33.07099309036716,10.234334262478594,24,0.0705595447771304,20.022625660479616,9.592991300614418
36,37,38,0.04594228424332741,35.474867904078046,9.57232149705468,25,0.044817775369191105,22.65804091586506,9.385903209780125
37,38,38,0.03416881181411713,36.83416881181412,8.380722008121403,26,0.03936458474461451,24.12572822110825,8.673826243820482
38,39,38,0.03814523777265934,35.884839452648706,8.478087132868291,24,0.04760872510499921,22.052567402790963,8.69674268524333
39,40,37,0.03836201056767349,35.582576886600755,9.066596276667285,24,0.026656279636905506,23.35930090773609,9.406909423587607
40,41,38,0.06287088470396943,34.44262295081968,9.221538746841771,25,0.05876574989838769,21.66413765072484,9.497643610905799
41,42,38,0.07368242785530392,34.05012870884705,9.712598674029252,24,0.07046470667931162,20.548977103373538,9.753194009576031
42,43,37,0.04299552906110273,35.01530957864789,9.651060833225102,24,0.03049044844871962,22.798672266630543,9.488705770023783
43,44,38,0.0011516054735127921,38.319333423655344,9.711995933574832,25,0.013331526893374747,24.3819265682157,9.807310198690226
44,45,40,0.023445332610757087,38.965180869800854,9.379172166210404,26,0.01695569706001872,25.329765614415404,8.957967351099295
45,46,41,0.0420877929819806,38.49952580951092,10.302477703540829,26,0.03715621189540698,24.572280178837563,9.861220204003445
46,47,39,0.06439506841891321,35.61563473784042,10.558645094229435,25,0.05117192792304555,22.88836201056768,9.921690627286324
47,48,39,0.047662918303752806,36.61129928194012,9.584774714936609,26,0.04984419455358345,23.16637312017343,9.224973590262836
48,49,40,0.06799891613602481,36.70518899878066,9.708421268474645,26,0.06612247662918294,22.983064625389524,9.31383490626482
49,50,41,0.0854084812356048,36.7763175721447,10.16563242718465,27,0.07540983606557371,22.648963555073845,9.599199346777498
50,51,42,0.05916542473919513,38.49139682969788,11.096092926652812,28,0.07547080341417135,23.794065844736494,10.160556805635748
51,52,41,0.09398455493835504,36.17910852188052,10.802005986544039,28,0.08096463893781321,23.32393984554939,10.408329997330663
52,53,43,0.08144560357675089,38.86532990109743,10.026864740731556,29,0.07038341688118135,24.950548706137383,8.576788138099264
53,54,42,0.06505216095380013,38.60100257417695,9.72892934066758,29,0.08018561170573081,24.28803685137516,9.526633682014586
54,55,43,0.05062322178566579,40.51632570112452,10.500754269117317,29,0.055791898116786164,25.801246443571344,9.719105889110711
55,56,43,0.04734453326107555,40.556022219211506,10.246527329493132,28,0.05795285191708434,25.167456984148497,9.786776370978195
56,57,41,0.007925755317707464,40.970735672673094,9.08107043362101,28,0.04923452106760598,25.302127083051072,9.203739208984425
57,58,42,0.06486248475816268,38.41403603847718,10.422606020254413,28,0.03452784175585954,26.490312965722808,8.702387183969954
58,59,43,0.061157024793388304,39.52892561983472,9.611295294869418,29,0.05417287630402373,25.757891884568494,8.815229121401774
59,60,43,0.04075328546267423,41.133315268933764,8.619505076777616,29,0.04981709795420662,26.887007180598847,8.026591480753089
60,61,44,0.059619292778756106,40.56333830104324,9.262204367863308,30,0.0438897168405364,27.5980219482455,7.786484369917866
61,62,43,0.04214198618073411,41.231811407668346,9.763900171369729,29,0.04000812897981293,27.50033870749222,8.595934076330979
62,63,43,0.01117734724292086,42.55249966129252,9.045705798246468,29,0.02330984961387326,28.411326378539503,8.550159890889743
63,64,44,0.04661969922774674,41.59951226121123,9.133709851280747,30,0.03794878742717775,28.318114076683386,8.206276573855625
64,65,45,0.03677008535428781,43.04999322585017,10.06108752042561,30,0.042711014767646646,28.313372171792437,8.469130462975407
65,66,44,0.05873187914916661,41.17030212708307,9.917024902666638,30,0.0533057851239668,27.314049586776864,8.527519864610245
66,67,45,0.07773336946213227,40.87318791491669,9.373758871013317,31,0.03182495596802582,29.27232082373664,8.201625855076946
67,68,46,0.054823194689066296,43.280856252540325,9.602800326190438,31,0.02496951632570105,30.33653976425959,8.371924417796679
68,69,46,0.07516596667118272,41.91152960303483,10.362393599064282,31,0.03880910445739047,29.382197534209467,8.096746277084524
69,70,46,0.0793659395745833,41.634737840401044,10.195979059448693,32,0.05344126812085067,28.98360655737706,9.085073884846125
70,71,46,0.03919523099850958,44.61522828884975,8.700511368398143,32,0.03567267307952838,30.115837962335732,7.540478461410605
71,72,47,0.0012667660208641345,47.73391139412004,10.069189018640632,33,0.015953122883077958,32.37339113941201,7.778590735422522
72,73,48,0.046470667931174596,46.178702072889855,10.262337196676594,34,0.03628912071535014,31.855710608318656,7.782388112802652
73,74,48,0.078695298740008,43.64191843923589,9.730536127744111,33,0.054789323939845494,30.572144695840677,7.586507524462937
74,75,49,0.054924806936729284,45.836742988754914,10.324680906094494,33,0.04687034277198202,30.733233979135615,7.605918747922569
75,76,48,0.05340062322178543,44.952987400081305,10.216822944261107,32,0.03907329630131403,30.62254437068149,8.072519107335205
76,77,48,0.022855981574312286,47.05839317165696,10.873382213982449,32,0.045535835252675544,30.11082509145103,8.350656924720363
77,78,48,0.027408210269610947,46.57038341688119,9.661958576094747,33,0.028614008941877548,31.79555615770221,8.07270679768083
78,79,49,-0.000833220430836059,49.6863568622138,10.136567466356647,34,0.02096599376778203,33.67592467145374,7.490811635141284
79,80,50,0.022280178837555835,48.811949600325164,10.258867024047046,35,0.020200514835387942,34.159869936323,7.671519005825988
80,81,50,0.019868581493022487,48.816149573228564,9.795828931887792,35,0.025870478254978894,33.621325023709524,7.552789425051752
81,82,50,-0.01169218263108011,51.47839046199704,9.767708365925097,35,-0.002276114347649555,35.39276520796641,7.932558357406766
82,83,51,0.005019645034548097,51.55832543015852,9.435134502772044,36,-0.0041525538544913134,36.43923587589757,7.1709065554116895
83,84,53,-0.006164476358217235,53.50209998645171,9.028604680643562,36,-0.0034819130199161543,37.15932800433546,7.2340067731852695
84,85,53,-0.0046673892426504155,53.42880368513754,10.240980712334792,37,0.009565099580002437,36.53353204172878,7.322114508906749
85,86,54,-0.0011380571738247775,54.77902723208238,9.569428767807864,38,-0.012627015309578903,39.055141579731746,7.863040790198126
86,87,54,0.03954071264056335,52.39615228288851,10.666739841346802,38,0.0321636634602356,36.549519035361065,8.693962630808542
87,88,55,0.05813575396287741,51.72673079528519,11.293956061813361,38,0.0605947703563202,35.24861129928194,8.346845794115511
88,89,53,0.05909090909090883,50.17355371900828,10.420511136292584,39,0.046829697872916784,36.31418506977376,7.257835131697196
89,90,53,0.045867768595041145,51.01652892561984,9.595797978436979,38,0.035306868987941865,36.7410919929549,7.3192733987329275
90,91,55,0.028925619834710477,53.272727272727295,10.032028598251866,39,0.030483674298875205,37.377591112315415,6.556062531952011
91,92,55,0.06098767104728319,52.15892155534482,9.168787633415155,40,0.044926161766697996,37.783769136973326,6.615762961233472
92,93,55,0.05409158650589323,52.47351307410923,8.35984762669738,40,0.0506028993361332,36.99688389107168,5.934270362756655
93,94,54,0.03506977374339493,52.73878878200787,8.84779470118855,39,0.03422300501287082,37.39290069096328,6.022112604425932
94,95,55,0.043639073296301296,53.125457255114476,9.167450504929414,39,0.026154992548434938,38.08359300907737,6.696654318640083
95,96,56,-0.004023845007451695,56.53895136160413,9.528592610400878,40,0.0011380571738245544,40.328410784446554,6.955189116579283
96,97,57,0.019177618208914657,56.69231811407668,10.591669890738673,40,0.00033193334236538026,40.68256333830105,6.843055638259819
97,98,57,0.020383416881181105,55.82658176398863,10.676181620527554,40,0.020471480829155748,39.63121528248205,7.149948467324742
98,99,55,0.07753691911665077,51.174231133992684,10.187146874002892,40,0.029907871562118753,38.46172605338032,6.873292425055881
99,100,56,0.06337894594228399,52.76751117734725,9.183160717930939,40,0.027591112315404148,38.53461590570385,6.607210770043564
100,101,58,0.04514970871155654,55.72903400623222,9.138647385311344,41,0.031073025335320303,39.218263107979965,6.675311199811216
101,102,57,0.06042541661021531,54.225714672808564,8.743246114406242,41,0.02440048773878866,40.26324346294541,5.750362307426087
102,103,58,0.09961387345888065,52.20498577428534,9.486832980505138,42,0.054321907600595916,38.963826039832014,6.678931555403387
103,104,59,0.07318791491667771,54.89798130334645,9.382997048321792,42,0.04435035902994154,40.24806936729441,6.303438215238835
104,105,60,0.05789865871833029,56.72442758433818,9.977157105701291,43,0.029528519170843964,41.94729711421217,6.513093402902429
105,106,59,0.0784582034954612,55.110689608454145,9.621157241551906,43,0.04910581222056612,40.78918845684868,6.432688130480292
106,107,60,0.058765749898387336,57.308765749898406,9.660354641038476,44,0.047371629860452215,41.51307410919931,7.074436967151794
107,108,61,0.07405500609673461,57.25917897303889,10.475085224871421,44,0.040387481371087754,42.49410648963556,7.247513110094503
108,109,63,0.07155534480422689,59.11163798943233,11.519967095147377,45,0.02957593821975311,44.18412139276523,6.981399924340483
109,110,62,0.04078715621189485,60.544506164476395,10.426325549435425,45,0.03424332746240334,43.656144153908706,6.667630784280284
110,111,63,0.04167456984148453,61.152418371494385,10.21005284331873,46,0.03227204985774262,44.12979271101479,6.572335375382285
111,112,64,0.03299010974122722,62.16108928329495,9.953479948510443,45,0.024183714943774363,44.50765478932396,6.222803085179108
112,113,63,0.025389513616041002,61.72456306733507,10.17700102497091,45,0.00944316488280692,45.30117870207291,6.327113808523242
113,114,62,0.05961251862891159,59.398455493835556,9.148281086190778,45,0.025816285056225238,44.07085760737028,5.617318752968519
114,115,63,0.03237366210540558,61.48733233979136,9.342400161165752,46,0.02099986451700283,44.94661969922777,5.311806590624168
115,116,63,0.03064625389513592,62.045522286953,9.393428627365543,47,0.028004335455900073,45.54288036851376,5.584931517493875
116,117,64,0.022679853678363074,62.730117870207316,9.548996456870919,47,0.017924400487738648,46.02370952445469,5.832959452795931
117,118,63,0.06358217043760975,59.54044167456985,10.398605278379268,47,0.03780653028044959,45.07871562118955,6.534154808646708
118,119,64,0.03422977916271466,62.89662647337763,8.782417320674892,46,0.015113128302397872,46.05188998780654,5.717512125354984
119,120,65,0.007004470938896761,65.23262430564967,9.35477662641004,48,-0.0032719143747460305,48.832678498848395,5.297798284822354
120,121,67,0.061854762227340085,63.31350765478935,8.59308133511815,49,0.02407532854626716,47.5720092128438,5.160722609406525
121,122,66,0.03983877523370793,64.17992141986181,8.871139015820715,49,0.040699092263920725,47.1530957864788,6.078073313691732
122,123,66,0.020376642731337116,65.653434493971,8.901844610279642,49,0.03666847310662493,47.5602221921149,5.95262518192384
123,124,67,0.03273269204714784,65.24265004741905,8.905913162399372,49,0.03740008128979792,47.46673892426502,6.036607789877975
124,125,67,0.013602492887142444,66.8780653028045,9.333490750345062,50,0.02796369055683491,48.57011245088743,5.302956709446057
125,126,69,-0.00018290204579357353,69.30849478390464,9.460130925890308,51,0.001795149708711326,50.917084405907076,5.57144925777449
126,127,69,-0.01448990651673257,70.14212166373123,8.801515021101006,50,-0.020579867226663176,52.119089554260945,5.58597959574479
127,128,67,0.018181818181817883,66.57851239669424,8.573591652813953,50,-0.013040238450074862,51.63365397642597,5.298838169864522
128,129,67,0.021081154315133074,66.04091586505893,9.728688653673228,50,0.01328410784446545,50.06245766156348,6.2494076854317
129,130,69,0.041843923587589676,66.6215959897033,10.16033312180292,51,0.03567944722937259,49.123695976155005,7.480829493936843
